linear,NUS,"['MA2001', 'MA2001', 'MA2001', 'MA2001', 'MA2001', 'MA2001', 'MA2001', 'DSA2102', 'ST3131', 'ST3131', 'ST3131', 'MA3252', 'MA3252', 'MA3252', 'ST3248', 'ST4234', 'ST4234', 'CS4234', 'MA4230', 'MA4230']"
linear,NTU,"['MH1812', 'MH1812', 'CZ1007', 'CZ2001', 'MH2802', 'MH2802', 'MH2802', 'MH2802', 'MH2802', 'MH2802', 'MH2802', 'MH2802', 'MH2802', 'MH2802', 'MH2802', 'MH3511', 'MH3511', 'MH3511', 'CZ4041', 'CZ4041', 'MH2100']"
linear,SMU,"['CS421', 'CS421', 'DSA211', 'DSA211', 'DSA303', 'IS460', 'IS460', 'OPIM326']"
linear,SUSS,"['ANL355', 'BUS107', 'BUS107']"
linear,SUTD,"[50.007, 40.319]"
linear,SIT,"['CSC1006', 'CSC1006']"
algebra,NUS,"['MA2001', 'MA2001', 'MA2311', 'MA4230', 'MA4230']"
algebra,NTU,"['MH2802', 'MH2802', 'MH2802', 'CZ2007', 'MH2100']"
algebra,SMU,"['CS421', 'CS421', 'IS460']"
algebra,SIT,['CSC1006']
system,NUS,"['MA2001', 'DSA2101', 'DSA2102', 'CS3244', 'CS3244', 'MA3236', 'CS3223', 'CS3243', 'CS3243', 'CS4224', 'CS4224', 'CS4225', 'CS4225']"
system,NTU,"['CC0003', 'CC0006', 'CZ2007', 'CZ3005', 'CZ3005']"
system,SMU,"['CS420', 'IS105', 'IS112', 'IS417']"
system,SUSS,"['ENG233', 'ENG233', 'ENG233', 'ENG233', 'ENG233', 'ENG233', 'ICT233', 'ICT330', 'ICT330', 'ICT330', 'ICT330', 'ICT330']"
system,SUTD,"[50.001, 50.001, 50.001, 50.002, 50.002, 50.002, 50.002, 50.002, 50.002, 50.002, 50.002, 50.003, 50.003, 50.003, 50.003, 50.005, 50.005, 50.005, 50.005, 50.005, 50.005, 40.319, 40.319, 50.038, 50.038, 50.043, 50.043, 50.043, 50.043, 50.043, 50.043, 50.043, 50.043, 50.043, 50.035, 50.035, 50.035, 50.035, 50.035, 50.017, 50.02, 50.02, 50.02, 50.037, 50.037, 50.041, 50.041, 50.041, 50.041, 50.041, 50.041, 50.041, 50.041, 50.041, 50.041, 50.041, 50.041, 50.041, 50.041, 50.041, 50.041, 50.044, 50.044, 50.044, 50.044, 50.044, 50.044, 50.045, 50.045, 50.045, 50.045, 50.045, 50.045, 50.045, 50.045, 50.045, 50.045, 50.045, 50.046, 50.046, 50.046, 50.046, 50.052, 50.052, 50.052, 50.052, 50.052, 50.053, 50.053, 50.053, 50.053, 50.053, 50.053]"
system,SIT,"['CSC1001', 'CSC1006', 'ICT1004', 'CSC2003', 'CSC2008', 'CSC3004', 'CSC3004', 'CSC3004', 'CSC3004', 'CSC3005', 'CSC3005']"
equation,NUS,"['MA2001', 'MA2002', 'MA2002']"
equation,NTU,"['MH1805', 'MH1805', 'MH1812', 'MH2802', 'MH2100']"
equation,SIT,['CSC1006']
matrix,NUS,"['MA2001', 'MA2001', 'DSA2102', 'MA2104', 'MA4230']"
matrix,NTU,"['MH1812', 'MH1812', 'CZ1007', 'CZ2001', 'MH2802', 'MH2802', 'MH2802', 'MH2802', 'MH2802', 'MH3511']"
matrix,SUTD,[40.319]
matrix,SIT,['CSC1006']
determinant,NUS,['MA2001']
determinant,NTU,['MH2802']
euclidean,NUS,"['MA2001', 'MA2001', 'MA2104']"
euclidean,NTU,['MH1812']
euclidean,SUTD,[50.05]
space,NUS,"['MA2001', 'MA2001', 'ST2131', 'CS4234', 'CS4243']"
space,NTU,"['CZ2001', 'MH2802', 'MH2802', 'MH2802', 'MH2802']"
space,SUTD,"[50.021, 50.045]"
combination,NUS,['MA2001']
combination,NTU,"['CZ1003', 'MH1812']"
combination,SUTD,[50.039]
combination,SIT,['CSC1002']
span,NUS,['MA2001']
subspace,NUS,['MA2001']
independence,NUS,"['MA2001', 'ST2131', 'ST2131', 'CS5340 ']"
independence,NTU,"['MH2500', 'MH2500', 'MH2802']"
base,NUS,['MA2001']
dimension,NUS,"['MA2001', 'DSA2101']"
dimension,NTU,['CZ4041']
rank,NUS,['MA2001']
rank,NTU,"['MH3511', 'MH3511']"
inner,NUS,['MA2001']
inner,NTU,['MH2802']
inner,SIT,['ICT1008']
product,NUS,['MA2001']
product,NTU,"['MH1812', 'MH2802', 'MH2802', 'MH2802']"
product,SMU,['OPIM326']
eigenvalue,NUS,"['MA2001', 'MA4230']"
eigenvectors,NUS,['MA2001']
eigenvectors,NTU,"['MH2802', 'MH2802']"
diagonalization,NUS,['MA2001']
transformation,NUS,['MA2001']
transformation,NTU,"['MH2802', 'MH2802', 'MH2802', 'MH2802', 'MH2802', 'MH3511']"
transformation,SUTD,[50.017]
limit,NUS,"['MA2002', 'MA2002', 'MA2104', 'ST2131']"
limit,NTU,"['MH1805', 'CZ2001', 'MH2500', 'MH2500', 'MH3500', 'MH3500', 'MH3511', 'MH2100', 'MH2100']"
limit,SMU,['STAT201']
continuity,NUS,"['MA2002', 'MA2002', 'MA2104']"
continuity,NTU,"['MH1805', 'MH2100', 'MH2100']"
derivative,NUS,"['MA2002', 'MA2002', 'MA2002', 'MA2311', 'MA2104']"
derivative,NTU,"['MH2100', 'MH2100', 'MH2100']"
differentiation,NUS,"['MA2002', 'MA2002', 'MA2104']"
differentiation,NTU,"['MH1805', 'MH1805']"
first,NUS,"['MA2002', 'MA2002', 'DSA4212', 'CS3243']"
first,NTU,"['CZ2001', 'CZ2001']"
order,NUS,"['MA2002', 'MA2002', 'MA2104', 'DSA4212', 'CS3243']"
order,NTU,"['MH1812', 'MH1812', 'MH1812', 'MH2500']"
order,SUTD,[50.049]
differential,NUS,"['MA2002', 'MA2002', 'MA2311', 'MA2104']"
differential,NTU,"['MH1805', 'MH1805']"
intermediate,NUS,['MA2002']
value,NUS,"['MA2002', 'MA2002', 'MA2311', 'MA2104', 'MA2104', 'MA4230']"
value,NTU,"['CZ1003', 'MH1812', 'MH1812', 'CC0005', 'MH3500', 'MH3511', 'MH3511', 'MH3511']"
value,SMU,['IS460']
value,SUSS,['FIN203']
value,SIT,['PHE2019']
theorem,NUS,"['MA2002', 'MA2002', 'MA2002', 'MA2311', 'MA2104', 'MA2104', 'MA2104', 'MA2104', 'MA2104', 'MA2104', 'MA2104', 'MA2104', 'ST2131', 'ST4231', 'ST4234']"
theorem,NTU,"['MH1805', 'MH1812', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH3500', 'MH3500', 'MH3511', 'MH2100', 'MH2100', 'MH2100']"
theorem,SMU,['STAT201']
chain,NUS,"['MA2002', 'MA2311', 'MA2104', 'ST3247', 'ST4231', 'ST4234']"
chain,NTU,"['MH2100', 'MH2100']"
chain,SMU,['DSA201']
rule,NUS,"['MA2002', 'MA2311', 'MA2104', 'CS3243']"
rule,NTU,"['MH1812', 'MH1812', 'CZ4032', 'CZ4032', 'MH2100']"
rule,SUSS,['ANL305']
implicit,NUS,"['MA2002', 'MA2104']"
mean,NUS,"['MA2002', 'MA2311', 'MA2104', 'ST4250']"
mean,NTU,"['MH3500', 'MH3511', 'MH3511', 'MH3511']"
riemann,NUS,['MA2002']
riemann,NTU,['MH1805']
integral,NUS,"['MA2002', 'MA2002', 'MA2311', 'MA2104', 'MA2104', 'MA2104', 'MA2104', 'MA2104']"
integral,NTU,"['MH1805', 'MH3500', 'MH2100', 'MH2100', 'MH2100', 'MH2100', 'MH2100']"
calculus,NUS,"['MA2002', 'MA2311', 'MA2104', 'ST2131']"
calculus,NTU,"['MH1805', 'MH1805', 'MH2100', 'MH2100', 'MH2100', 'MH2100', 'MH2100', 'MH2100']"
calculus,SMU,['IS460']
calculus,SUSS,['ANL321']
transcendental,NUS,['MA2002']
function,NUS,"['MA2002', 'MA2311', 'MA2104', 'MA2104', 'ST2131', 'DSA3102']"
function,NTU,"['CZ1003', 'MH1812', 'MH1812', 'CZ2002', 'CZ2001', 'CZ2001', 'CZ2001', 'MH2500', 'MH2500', 'MH3511', 'MH2100', 'MH2100', 'MH2100', 'MH2100']"
function,SMU,['DSA301']
function,SUSS,['ACC353']
function,SUTD,"[50.007, 50.039]"
function,SIT,"['CSC1002', 'ICT1002']"
integration,NUS,"['MA2002', 'MA2104', 'ST4234', 'CS4224']"
integration,NTU,"['MH1805', 'MH1805', 'MH1805', 'CZ2006']"
computation,NUS,"['MA2002', 'ST4234', 'CS3210']"
computation,SUTD,"[50.038, 50.038]"
area,NUS,['MA2002']
area,SUTD,[50.012]
volume,NUS,['MA2002']
volume,SMU,['DSA306']
definite,NUS,['MA2002']
stack,NUS,['CS2040']
stack,NTU,"['CZ1007', 'CZ1007']"
stack,SUTD,[50.02]
stack,SIT,['ICT1008']
searching,NUS,['CS2040']
searching,NTU,"['CZ1007', 'CZ2001', 'CZ2001', 'HW0218']"
searching,SIT,['ICT1008']
visualisation,NUS,"['DSA2101', 'DSA2101', 'MA2104']"
visualisation,SMU,['ACCT420']
visualisation,SUSS,"['ANL201', 'ANL201', 'ANL201', 'ANL201', 'ANL252']"
cleaning,NUS,['DSA2101']
cleaning,SUSS,['ANL201']
exploration,NUS,['DSA2101']
exploration,SUSS,['ANL305']
exploration,SIT,['CSC3009']
storage,NUS,"['DSA2101', 'CS3223']"
storage,SUSS,['ENG233']
storage,SUTD,"[50.038, 50.046]"
exploratory,NUS,['DSA2101']
exploratory,SMU,['DSA303']
exploratory,SUSS,['ANL201']
reduction,NUS,"['DSA2101', 'MA4270', 'ST3247']"
reduction,NTU,"['CC0006', 'CZ4041']"
reduction,SUTD,"[40.319, 40.319]"
reduction,SIT,['CSC3009']
statistical,NUS,"['DSA2101', 'ST2132', 'DSA4212', 'DSA4212', 'ST4250', 'ST3247', 'ST3248', 'ST3248', 'ST4248', 'ST4248']"
statistical,NTU,"['MH3500', 'MH3511', 'MH3511', 'MH3511', 'MH3511']"
statistical,SMU,"['CS421', 'DSA201', 'DSA201', 'DSA211', 'DSA211', 'ECON245']"
statistical,SUSS,"['BUS105', 'ANL321', 'ANL321', 'ANL321', 'MKT371']"
statistical,SUTD,"[40.319, 50.038]"
graphic,NUS,['DSA2101']
graphic,SMU,['DSA212']
graphic,SUTD,"[50.017, 50.017, 50.017, 50.017, 50.017, 50.017, 50.017, 50.017, 50.017, 50.033, 50.05]"
design,NUS,"['DSA2101', 'ST3232', 'ST3232', 'ST3232', 'ST3232', 'ST3232', 'ST3239', 'CS3210', 'CS3210', 'CS4224']"
design,NTU,"['CZ1007', 'CZ2002', 'CZ2001', 'CZ2001', 'CZ2006', 'CZ2006']"
design,SMU,"['CS421', 'IS105', 'IS112', 'IS1702']"
design,SUSS,"['ANL321', 'ENG233', 'ICT233', 'MKT390']"
design,SUTD,"[10.014, 10.014, 50.001, 50.001, 50.001, 50.002, 50.002, 50.003, 50.003, 50.003, 50.003, 50.003, 50.003, 50.004, 50.005, 50.005, 50.005, 40.319, 50.043, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.04, 50.04, 50.006, 50.006, 50.006, 50.006, 50.006, 50.012, 50.02, 50.033, 50.037, 50.041, 50.041, 50.044, 50.044, 50.044, 50.046, 50.046, 50.046, 50.046, 50.049, 50.051, 50.052, 50.052, 50.053]"
design,SIT,"['CSC2003', 'CSC2003']"
principle,NUS,"['DSA2101', 'DSA4212', 'MA3236', 'ST4231', 'ST4234']"
principle,NTU,"['MH1812', 'MH1812', 'CZ2002', 'CZ2002', 'CC0007']"
principle,SUTD,"[50.002, 40.319, 50.035, 50.006, 50.006, 50.012, 50.044, 50.044, 50.046, 50.052]"
principle,SIT,"['CSC1002', 'ICT2101']"
critical,NUS,['DSA2101']
critical,NTU,['CC0007']
evaluation,NUS,['DSA2101']
evaluation,NTU,['CZ4041']
evaluation,SMU,"['DSA301', 'ECON233', 'IS424']"
evaluation,SUSS,['ANL307']
evaluation,SUTD,"[50.039, 50.039, 50.006, 50.006, 50.045]"
visual,NUS,['DSA2101']
visual,SMU,"['IS428', 'IS428', 'IS428', 'IS428', 'IS428']"
visual,SUTD,"[10.014, 10.014, 10.014]"
display,NUS,['DSA2101']
numerical,NUS,"['DSA2102', 'DSA2102', 'MA4270', 'MA4270', 'ST4234', 'MA4230']"
implementation,NUS,"['DSA2102', 'DSA3102']"
implementation,SMU,"['IS105', 'IS112']"
implementation,SUSS,['ICT330']
implementation,SUTD,"[50.002, 50.003, 50.005]"
implementation,SIT,['CSC2003']
industrial,NUS,['DSA2102']
