Source,Target,Weight,Type
72,102,0.24203064108457617,Undirected
72,128,0.3047839645313507,Undirected
74,78,0.24561471798442724,Undirected
74,167,0.20086755226663344,Undirected
75,78,0.3184448851000135,Undirected
75,135,0.2120340138169443,Undirected
76,79,0.7025475195295704,Undirected
76,97,0.3783004785451711,Undirected
76,129,0.21837257675299077,Undirected
77,96,0.4195479353290513,Undirected
78,90,0.24199150778083064,Undirected
78,120,0.25739908622661883,Undirected
78,153,0.21311470168828067,Undirected
79,97,0.24935601408595887,Undirected
79,154,0.20187412375586836,Undirected
80,86,0.3175188705965569,Undirected
80,172,0.6049806864438038,Undirected
81,84,0.2527111473765664,Undirected
81,104,0.29381687213074914,Undirected
81,105,0.3010387863203113,Undirected
81,143,0.3779010377819548,Undirected
81,156,0.31310246533956326,Undirected
82,87,0.30276288754932845,Undirected
82,151,0.40086858845016304,Undirected
82,173,0.2191718242546301,Undirected
84,86,0.22909831545495607,Undirected
84,104,0.23380588943132122,Undirected
84,105,0.20808053959066783,Undirected
84,114,0.2864974616539042,Undirected
84,134,0.2608483969733816,Undirected
84,143,0.2253632184242368,Undirected
84,155,0.2515154418802508,Undirected
84,156,0.2864282765423818,Undirected
84,167,0.42870205668180483,Undirected
84,171,0.23182260189463474,Undirected
85,98,0.2762495602699209,Undirected
85,101,0.35010586247728254,Undirected
85,106,0.20633302224472888,Undirected
85,108,0.3061048655874971,Undirected
85,109,0.3475920093223457,Undirected
85,118,0.25234560781784093,Undirected
85,155,0.3407210435192403,Undirected
85,156,0.3823495072045226,Undirected
86,167,0.24773588189053744,Undirected
86,172,0.22413880431547994,Undirected
87,91,0.21001399136742835,Undirected
87,151,0.43934145082836495,Undirected
87,173,0.21573500803808265,Undirected
88,157,0.22616026221367178,Undirected
89,90,0.201403634875867,Undirected
89,111,0.20404289714515567,Undirected
89,152,0.21664161660442682,Undirected
89,154,0.24525622357256172,Undirected
89,157,0.35012905509039927,Undirected
89,158,0.415515628742124,Undirected
89,159,0.20977305083688028,Undirected
89,161,0.3136970875179569,Undirected
89,164,0.2885428706726945,Undirected
90,153,0.2320841747204584,Undirected
90,154,0.22027951229056958,Undirected
90,161,0.20184772764775225,Undirected
91,106,0.2121004638515046,Undirected
91,151,0.21090110157900402,Undirected
92,108,0.21127186104558754,Undirected
92,115,0.41005537968544653,Undirected
92,116,0.20454896152010424,Undirected
92,117,0.2679345658141211,Undirected
92,125,0.24733834290635393,Undirected
92,127,0.4461461886577124,Undirected
92,137,0.2914980851493488,Undirected
93,106,0.28048920898177093,Undirected
95,111,0.7026637937965717,Undirected
95,153,0.4302262211168104,Undirected
95,154,0.2719180297254286,Undirected
95,155,0.2901204170156116,Undirected
96,124,0.21740896257225503,Undirected
97,98,0.2515344449091674,Undirected
97,101,0.20920871820838532,Undirected
97,129,0.2611127493611693,Undirected
97,135,0.22590801738238192,Undirected
98,100,0.2956896509931715,Undirected
98,101,0.22535536441642667,Undirected
98,104,0.25355871855102646,Undirected
98,105,0.2606480009869607,Undirected
98,108,0.2051729704691902,Undirected
98,109,0.2916790946026814,Undirected
98,110,0.21122215162328048,Undirected
98,116,0.2564128479933784,Undirected
98,118,0.21501698770444672,Undirected
98,143,0.3916433524970901,Undirected
98,155,0.237665948678714,Undirected
98,156,0.31459938241755625,Undirected
99,102,0.7537478687649571,Undirected
99,120,0.2258310146550273,Undirected
99,128,0.29369256788108045,Undirected
100,109,0.22004913072688492,Undirected
101,108,0.22305952020701955,Undirected
101,109,0.2580681412025482,Undirected
101,118,0.22925117945974738,Undirected
101,144,0.22814690689503678,Undirected
101,155,0.27651124800117,Undirected
101,156,0.3706397607046576,Undirected
102,128,0.3063093833588875,Undirected
104,105,0.7794901717451336,Undirected
104,108,0.21499197724493552,Undirected
104,109,0.23330246322808,Undirected
104,143,0.5211084476947563,Undirected
